"Plot Title: Hour4"
"#","Date Time, GMT-07:00","Intensity, Lux (LGR S/N: 1266540, SEN S/N: 1266540, LBL: light)","Max: Temperature, °C (LGR S/N: 1266540)","Min: Temperature, °C (LGR S/N: 1266540)","Avg: Temperature, °C (LGR S/N: 1266540)","Bad Battery (LGR S/N: 1266540)","Coupler Attached (LGR S/N: 1266540)","Host Connected (LGR S/N: 1266540)","Stopped (LGR S/N: 1266540)","End Of File (LGR S/N: 1266540)"
142,05/16/18 09:00:00 AM,236.8,12.594,12.594,12.594,,,,,
143,05/16/18 10:00:00 AM,301.4,12.497,12.497,12.497,,,,,
144,05/16/18 11:00:00 AM,688.9,12.594,12.594,12.594,,,,,
145,05/16/18 12:00:00 PM,828.8,12.690,12.690,12.690,,,,,
146,05/16/18 01:00:00 PM,1377.8,12.883,12.883,12.883,,,,,
147,05/16/18 02:00:00 PM,861.1,12.980,12.980,12.980,,,,,
148,05/16/18 03:00:00 PM,1033.3,13.076,13.076,13.076,,,,,
149,05/16/18 04:00:00 PM,731.9,13.173,13.173,13.173,,,,,
150,05/16/18 05:00:00 PM,430.6,13.076,13.076,13.076,,,,,
151,05/16/18 06:00:00 PM,516.7,13.076,13.076,13.076,,,,,
152,05/16/18 07:00:00 PM,430.6,12.980,12.980,12.980,,,,,
153,05/16/18 08:00:00 PM,21.5,12.883,12.883,12.883,,,,,
154,05/16/18 09:00:00 PM,0.0,12.787,12.787,12.787,,,,,
155,05/16/18 10:00:00 PM,0.0,12.690,12.690,12.690,,,,,
156,05/16/18 11:00:00 PM,0.0,12.594,12.594,12.594,,,,,
157,05/17/18 12:00:00 AM,0.0,12.497,12.497,12.497,,,,,
158,05/17/18 01:00:00 AM,0.0,12.304,12.304,12.304,,,,,
159,05/17/18 02:00:00 AM,0.0,12.207,12.207,12.207,,,,,
160,05/17/18 03:00:00 AM,0.0,12.110,12.110,12.110,,,,,
161,05/17/18 04:00:00 AM,0.0,12.013,12.013,12.013,,,,,
162,05/17/18 05:00:00 AM,0.0,11.916,11.916,11.916,,,,,
163,05/17/18 06:00:00 AM,0.0,11.819,11.819,11.819,,,,,
164,05/17/18 07:00:00 AM,43.1,11.722,11.722,11.722,,,,,
165,05/17/18 08:00:00 AM,86.1,11.625,11.625,11.625,,,,,
166,05/17/18 09:00:00 AM,279.9,11.528,11.528,11.528,,,,,
167,05/17/18 10:00:00 AM,559.7,11.625,11.625,11.625,,,,,
168,05/17/18 11:00:00 AM,645.8,11.528,11.528,11.528,,,,,
169,05/17/18 12:00:00 PM,602.8,11.625,11.625,11.625,,,,,
170,05/17/18 01:00:00 PM,581.3,11.722,11.722,11.722,,,,,
171,05/17/18 02:00:00 PM,861.1,11.819,11.819,11.819,,,,,
172,05/17/18 03:00:00 PM,581.3,11.916,11.916,11.916,,,,,
173,05/17/18 04:00:00 PM,1173.3,12.110,12.110,12.110,,,,,
174,05/17/18 05:00:00 PM,818.1,12.207,12.207,12.207,,,,,
175,05/17/18 06:00:00 PM,452.1,12.304,12.304,12.304,,,,,
176,05/17/18 07:00:00 PM,86.1,12.207,12.207,12.207,,,,,
177,05/17/18 08:00:00 PM,0.0,12.110,12.110,12.110,,,,,
178,05/17/18 09:00:00 PM,0.0,12.013,12.013,12.013,,,,,
179,05/17/18 10:00:00 PM,0.0,11.916,11.916,11.916,,,,,
180,05/17/18 11:00:00 PM,0.0,11.819,11.819,11.819,,,,,
181,05/18/18 12:00:00 AM,0.0,11.722,11.722,11.722,,,,,
182,05/18/18 01:00:00 AM,0.0,11.722,11.722,11.722,,,,,
183,05/18/18 02:00:00 AM,0.0,11.625,11.625,11.625,,,,,
184,05/18/18 03:00:00 AM,0.0,11.625,11.625,11.625,,,,,
185,05/18/18 04:00:00 AM,0.0,11.528,11.528,11.528,,,,,
186,05/18/18 05:00:00 AM,0.0,11.528,11.528,11.528,,,,,
187,05/18/18 06:00:00 AM,10.8,11.431,11.431,11.431,,,,,
188,05/18/18 07:00:00 AM,118.4,11.431,11.431,11.431,,,,,
189,05/18/18 08:00:00 AM,322.9,11.431,11.431,11.431,,,,,
190,05/18/18 09:00:00 AM,764.2,11.625,11.625,11.625,,,,,
191,05/18/18 10:00:00 AM,839.6,11.819,11.819,11.819,,,,,
192,05/18/18 11:00:00 AM,570.5,11.819,11.819,11.819,,,,,
193,05/18/18 12:00:00 PM,1173.3,12.110,12.110,12.110,,,,,
194,05/18/18 01:00:00 PM,1022.6,12.207,12.207,12.207,,,,,
195,05/18/18 02:00:00 PM,688.9,12.304,12.304,12.304,,,,,
196,05/18/18 03:00:00 PM,473.6,12.304,12.304,12.304,,,,,
197,05/18/18 04:00:00 PM,1722.2,12.497,12.497,12.497,,,,,
198,05/18/18 05:00:00 PM,828.8,12.787,12.787,12.787,,,,,
199,05/18/18 06:00:00 PM,1033.3,12.980,12.980,12.980,,,,,
200,05/18/18 07:00:00 PM,538.2,12.787,12.787,12.787,,,,,
201,05/18/18 08:00:00 PM,53.8,12.690,12.690,12.690,,,,,
202,05/18/18 09:00:00 PM,0.0,12.497,12.497,12.497,,,,,
203,05/18/18 10:00:00 PM,0.0,12.497,12.497,12.497,,,,,
204,05/18/18 11:00:00 PM,0.0,12.401,12.401,12.401,,,,,
205,05/19/18 12:00:00 AM,0.0,12.304,12.304,12.304,,,,,
206,05/19/18 01:00:00 AM,0.0,12.207,12.207,12.207,,,,,
207,05/19/18 02:00:00 AM,0.0,12.110,12.110,12.110,,,,,
208,05/19/18 03:00:00 AM,0.0,12.110,12.110,12.110,,,,,
209,05/19/18 04:00:00 AM,0.0,12.013,12.013,12.013,,,,,
210,05/19/18 05:00:00 AM,0.0,11.916,11.916,11.916,,,,,
211,05/19/18 06:00:00 AM,0.0,11.916,11.916,11.916,,,,,
212,05/19/18 07:00:00 AM,150.7,11.819,11.819,11.819,,,,,
