"Plot Title: 20400734"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20400734, SEN S/N: 20400734)","Intensity, Lux (LGR S/N: 20400734, SEN S/N: 20400734)","Coupler Attached (LGR S/N: 20400734)","Coupler Detached (LGR S/N: 20400734)","Host Connected (LGR S/N: 20400734)","Stopped (LGR S/N: 20400734)","End Of File (LGR S/N: 20400734)"
356,07/11/18 03:00:00 AM,1.330,0.0,,,,,
357,07/11/18 04:00:00 AM,1.003,0.0,,,,,
358,07/11/18 05:00:00 AM,0.784,226.0,,,,,
359,07/11/18 06:00:00 AM,1.439,1377.8,,,,,
360,07/11/18 07:00:00 AM,8.879,16533.4,,,,,
361,07/11/18 08:00:00 AM,18.045,24800.2,,,,,
362,07/11/18 09:00:00 AM,19.948,26178.0,,,,,
363,07/11/18 10:00:00 AM,22.142,26178.0,,,,,
364,07/11/18 11:00:00 AM,22.525,30311.3,,,,,
365,07/11/18 12:00:00 PM,21.855,24800.2,,,,,
366,07/11/18 01:00:00 PM,19.948,26178.0,,,,,
367,07/11/18 02:00:00 PM,22.046,31689.1,,,,,
368,07/11/18 03:00:00 PM,23.869,46844.8,,,,,
369,07/11/18 04:00:00 PM,22.238,30311.3,,,,,
370,07/11/18 05:00:00 PM,26.000,85422.8,,,,,
371,07/11/18 06:00:00 PM,33.430,220445.9,,,,,
372,07/11/18 07:00:00 PM,33.743,187379.0,,,,,
373,07/11/18 08:00:00 PM,18.236,7233.4,,,,,
374,07/11/18 09:00:00 PM,11.431,742.7,,,,,
375,07/11/18 10:00:00 PM,8.182,0.0,,,,,
376,07/11/18 11:00:00 PM,6.775,0.0,,,,,
377,07/12/18 12:00:00 AM,5.037,0.0,,,,,
378,07/12/18 01:00:00 AM,5.552,0.0,,,,,
379,07/12/18 02:00:00 AM,4.934,0.0,,,,,
380,07/12/18 03:00:00 AM,4.934,0.0,,,,,
381,07/12/18 04:00:00 AM,4.623,0.0,,,,,
382,07/12/18 05:00:00 AM,3.998,204.5,,,,,
383,07/12/18 06:00:00 AM,5.141,1345.5,,,,,
384,07/12/18 07:00:00 AM,12.304,18600.1,,,,,
385,07/12/18 08:00:00 AM,19.377,24800.2,,,,,
386,07/12/18 09:00:00 AM,25.610,26178.0,,,,,
387,07/12/18 10:00:00 AM,25.805,26178.0,,,,,
388,07/12/18 11:00:00 AM,27.567,26178.0,,,,,
389,07/12/18 12:00:00 PM,26.292,22044.6,,,,,
390,07/12/18 01:00:00 PM,27.272,22044.6,,,,,
391,07/12/18 02:00:00 PM,28.853,23422.4,,,,,
392,07/12/18 03:00:00 PM,26.488,33066.9,,,,,
393,07/12/18 04:00:00 PM,26.097,17222.3,,,,,
394,07/12/18 05:00:00 PM,28.655,74400.5,,,,,
395,07/12/18 06:00:00 PM,36.295,209423.6,,,,,
396,07/12/18 07:00:00 PM,35.009,187379.0,,,,,
397,07/12/18 08:00:00 PM,20.615,4822.3,,,,,
398,07/12/18 09:00:00 PM,15.378,721.2,,,,,
399,07/12/18 10:00:00 PM,14.038,0.0,,,,,
400,07/12/18 11:00:00 PM,8.481,0.0,,,,,
401,07/13/18 12:00:00 AM,6.978,0.0,,,,,
402,07/13/18 01:00:00 AM,5.655,0.0,,,,,
403,07/13/18 02:00:00 AM,4.623,0.0,,,,,
404,07/13/18 03:00:00 AM,4.934,0.0,,,,,
405,07/13/18 04:00:00 AM,3.472,0.0,,,,,
406,07/13/18 05:00:00 AM,3.261,193.8,,,,,
407,07/13/18 06:00:00 AM,3.788,1216.3,,,,,
408,07/13/18 07:00:00 AM,11.041,18600.1,,,,,
409,07/13/18 08:00:00 AM,22.142,24800.2,,,,,
410,07/13/18 09:00:00 AM,23.773,26178.0,,,,,
411,07/13/18 10:00:00 AM,24.545,28933.5,,,,,
412,07/13/18 11:00:00 AM,25.805,28933.5,,,,,
413,07/13/18 12:00:00 PM,25.319,21355.7,,,,,
414,07/13/18 01:00:00 PM,26.781,22044.6,,,,,
415,07/13/18 02:00:00 PM,28.258,22044.6,,,,,
416,07/13/18 03:00:00 PM,26.488,24800.2,,,,,
417,07/13/18 04:00:00 PM,25.416,17911.2,,,,,
418,07/13/18 05:00:00 PM,26.683,88178.4,,,,,
419,07/13/18 06:00:00 PM,32.807,209423.6,,,,,
420,07/13/18 07:00:00 PM,30.255,176356.7,,,,,
421,07/13/18 08:00:00 PM,18.140,7233.4,,,,,
422,07/13/18 09:00:00 PM,14.900,775.0,,,,,
423,07/13/18 10:00:00 PM,12.401,0.0,,,,,
424,07/13/18 11:00:00 PM,13.269,0.0,,,,,
425,07/14/18 12:00:00 AM,12.690,0.0,,,,,
426,07/14/18 01:00:00 AM,12.207,0.0,,,,,
