"Plot Title: TL005"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 1266565, SEN S/N: 1266565, LBL: temp)","Intensity, Lux (LGR S/N: 1266565, SEN S/N: 1266565, LBL: li)","Max: Temperature, °C (LGR S/N: 1266565)","Min: Temperature, °C (LGR S/N: 1266565)","Avg: Temperature, °C (LGR S/N: 1266565)","Bad Battery (LGR S/N: 1266565)","Coupler Attached (LGR S/N: 1266565)","Host Connected (LGR S/N: 1266565)","Stopped (LGR S/N: 1266565)","End Of File (LGR S/N: 1266565)"
170,05/29/18 01:00:00 PM,9.965,5511.1,9.965,9.965,9.965,,,,,
171,05/29/18 02:00:00 PM,9.965,4650.0,9.965,9.965,9.965,,,,,
172,05/29/18 03:00:00 PM,10.063,4133.4,10.063,10.063,10.063,,,,,
173,05/29/18 04:00:00 PM,10.161,3444.5,10.161,10.161,10.161,,,,,
174,05/29/18 05:00:00 PM,10.161,2325.0,10.161,10.161,10.161,,,,,
175,05/29/18 06:00:00 PM,10.846,5166.7,10.846,10.846,10.846,,,,,
176,05/29/18 07:00:00 PM,10.455,1808.3,10.455,10.455,10.455,,,,,
177,05/29/18 08:00:00 PM,10.259,1313.2,10.259,10.259,10.259,,,,,
178,05/29/18 09:00:00 PM,9.965,32.3,9.965,9.965,9.965,,,,,
179,05/29/18 10:00:00 PM,9.866,0.0,9.866,9.866,9.866,,,,,
180,05/29/18 11:00:00 PM,9.768,0.0,9.768,9.768,9.768,,,,,
181,05/30/18 12:00:00 AM,9.571,0.0,9.571,9.571,9.571,,,,,
182,05/30/18 01:00:00 AM,9.373,0.0,9.373,9.373,9.373,,,,,
183,05/30/18 02:00:00 AM,9.275,0.0,9.275,9.275,9.275,,,,,
184,05/30/18 03:00:00 AM,9.176,0.0,9.176,9.176,9.176,,,,,
185,05/30/18 04:00:00 AM,9.077,0.0,9.077,9.077,9.077,,,,,
186,05/30/18 05:00:00 AM,8.978,0.0,8.978,8.978,8.978,,,,,
187,05/30/18 06:00:00 AM,8.978,322.9,8.978,8.978,8.978,,,,,
188,05/30/18 07:00:00 AM,8.978,1550.0,8.978,8.978,8.978,,,,,
189,05/30/18 08:00:00 AM,9.077,4477.8,9.077,9.077,9.077,,,,,
190,05/30/18 09:00:00 AM,9.472,13089.0,9.472,9.472,9.472,,,,,
191,05/30/18 10:00:00 AM,9.472,9644.5,9.472,9.472,9.472,,,,,
192,05/30/18 11:00:00 AM,9.275,3788.9,9.275,9.275,9.275,,,,,
193,05/30/18 12:00:00 PM,9.571,6544.5,9.571,9.571,9.571,,,,,
194,05/30/18 01:00:00 PM,9.866,6544.5,9.866,9.866,9.866,,,,,
195,05/30/18 02:00:00 PM,9.669,3272.2,9.669,9.669,9.669,,,,,
196,05/30/18 03:00:00 PM,10.063,5166.7,10.063,10.063,10.063,,,,,
197,05/30/18 04:00:00 PM,10.161,5338.9,10.161,10.161,10.161,,,,,
198,05/30/18 05:00:00 PM,10.063,3444.5,10.063,10.063,10.063,,,,,
199,05/30/18 06:00:00 PM,10.455,4822.3,10.455,10.455,10.455,,,,,
200,05/30/18 07:00:00 PM,10.455,1980.6,10.455,10.455,10.455,,,,,
201,05/30/18 08:00:00 PM,10.161,796.5,10.161,10.161,10.161,,,,,
202,05/30/18 09:00:00 PM,9.965,43.1,9.965,9.965,9.965,,,,,
203,05/30/18 10:00:00 PM,9.768,0.0,9.768,9.768,9.768,,,,,
204,05/30/18 11:00:00 PM,9.472,0.0,9.472,9.472,9.472,,,,,
205,05/31/18 12:00:00 AM,9.275,0.0,9.275,9.275,9.275,,,,,
206,05/31/18 01:00:00 AM,8.978,0.0,8.978,8.978,8.978,,,,,
207,05/31/18 02:00:00 AM,8.779,0.0,8.779,8.779,8.779,,,,,
208,05/31/18 03:00:00 AM,8.581,0.0,8.581,8.581,8.581,,,,,
209,05/31/18 04:00:00 AM,8.481,0.0,8.481,8.481,8.481,,,,,
210,05/31/18 05:00:00 AM,8.282,0.0,8.282,8.282,8.282,,,,,
211,05/31/18 06:00:00 AM,8.182,828.8,8.182,8.182,8.182,,,,,
212,05/31/18 07:00:00 AM,8.282,2755.6,8.282,8.282,8.282,,,,,
213,05/31/18 08:00:00 AM,8.481,4133.4,8.481,8.481,8.481,,,,,
214,05/31/18 09:00:00 AM,8.779,6200.0,8.779,8.779,8.779,,,,,
215,05/31/18 10:00:00 AM,9.077,10333.4,9.077,9.077,9.077,,,,,
216,05/31/18 11:00:00 AM,10.944,68889.3,10.944,10.944,10.944,,,,,
217,05/31/18 12:00:00 PM,9.965,20666.8,9.965,9.965,9.965,,,,,
218,05/31/18 01:00:00 PM,9.866,6544.5,9.866,9.866,9.866,,,,,
219,05/31/18 02:00:00 PM,9.866,3272.2,9.866,9.866,9.866,,,,,
220,05/31/18 03:00:00 PM,9.866,2755.6,9.866,9.866,9.866,,,,,
221,05/31/18 04:00:00 PM,9.965,3961.1,9.965,9.965,9.965,,,,,
222,05/31/18 05:00:00 PM,10.063,4994.5,10.063,10.063,10.063,,,,,
223,05/31/18 06:00:00 PM,10.063,4133.4,10.063,10.063,10.063,,,,,
224,05/31/18 07:00:00 PM,10.063,2411.1,10.063,10.063,10.063,,,,,
225,05/31/18 08:00:00 PM,9.866,613.5,9.866,9.866,9.866,,,,,
226,05/31/18 09:00:00 PM,9.768,107.6,9.768,9.768,9.768,,,,,
227,05/31/18 10:00:00 PM,9.571,0.0,9.571,9.571,9.571,,,,,
228,05/31/18 11:00:00 PM,9.373,0.0,9.373,9.373,9.373,,,,,
229,06/01/18 12:00:00 AM,9.077,0.0,9.077,9.077,9.077,,,,,
230,06/01/18 01:00:00 AM,8.978,0.0,8.978,8.978,8.978,,,,,
231,06/01/18 02:00:00 AM,8.680,0.0,8.680,8.680,8.680,,,,,
232,06/01/18 03:00:00 AM,8.581,0.0,8.581,8.581,8.581,,,,,
233,06/01/18 04:00:00 AM,8.481,0.0,8.481,8.481,8.481,,,,,
234,06/01/18 05:00:00 AM,8.382,0.0,8.382,8.382,8.382,,,,,
235,06/01/18 06:00:00 AM,8.282,742.7,8.282,8.282,8.282,,,,,
236,06/01/18 07:00:00 AM,8.382,2583.4,8.382,8.382,8.382,,,,,
237,06/01/18 08:00:00 AM,8.382,3272.2,8.382,8.382,8.382,,,,,
238,06/01/18 09:00:00 AM,8.481,2411.1,8.481,8.481,8.481,,,,,
239,06/01/18 10:00:00 AM,8.680,6200.0,8.680,8.680,8.680,,,,,
240,06/01/18 11:00:00 AM,8.581,2583.4,8.581,8.581,8.581,,,,,
241,06/01/18 12:00:00 PM,8.581,2583.4,8.581,8.581,8.581,,,,,
242,06/01/18 01:00:00 PM,8.978,10333.4,8.978,8.978,8.978,,,,,
243,06/01/18 02:00:00 PM,8.879,2927.8,8.879,8.879,8.879,,,,,
244,06/01/18 03:00:00 PM,8.779,602.8,8.779,8.779,8.779,,,,,
245,06/01/18 04:00:00 PM,8.879,3100.0,8.879,8.879,8.879,,,,,
246,06/01/18 05:00:00 PM,8.779,721.2,8.779,8.779,8.779,,,,,
247,06/01/18 06:00:00 PM,9.176,8266.7,9.176,9.176,9.176,,,,,
248,06/01/18 07:00:00 PM,8.978,1550.0,8.978,8.978,8.978,,,,,
249,06/01/18 08:00:00 PM,8.978,376.7,8.978,8.978,8.978,,,,,
250,06/01/18 09:00:00 PM,8.879,21.5,8.879,8.879,8.879,,,,,
251,06/01/18 10:00:00 PM,8.779,0.0,8.779,8.779,8.779,,,,,
252,06/01/18 11:00:00 PM,8.779,0.0,8.779,8.779,8.779,,,,,
253,06/02/18 12:00:00 AM,8.680,0.0,8.680,8.680,8.680,,,,,
254,06/02/18 01:00:00 AM,8.680,0.0,8.680,8.680,8.680,,,,,
255,06/02/18 02:00:00 AM,8.581,0.0,8.581,8.581,8.581,,,,,
256,06/02/18 03:00:00 AM,8.581,0.0,8.581,8.581,8.581,,,,,
257,06/02/18 04:00:00 AM,8.581,0.0,8.581,8.581,8.581,,,,,
258,06/02/18 05:00:00 AM,8.581,0.0,8.581,8.581,8.581,,,,,
259,06/02/18 06:00:00 AM,8.481,538.2,8.481,8.481,8.481,,,,,
260,06/02/18 07:00:00 AM,8.581,1324.0,8.581,8.581,8.581,,,,,
261,06/02/18 08:00:00 AM,8.680,3272.2,8.680,8.680,8.680,,,,,
262,06/02/18 09:00:00 AM,8.978,5166.7,8.978,8.978,8.978,,,,,
263,06/02/18 10:00:00 AM,9.373,9300.1,9.373,9.373,9.373,,,,,
264,06/02/18 11:00:00 AM,10.161,14466.8,10.161,10.161,10.161,,,,,
265,06/02/18 12:00:00 PM,10.357,19977.9,10.357,10.357,10.357,,,,,
266,06/02/18 01:00:00 PM,10.357,7233.4,10.357,10.357,10.357,,,,,
267,06/02/18 02:00:00 PM,10.651,8611.2,10.651,10.651,10.651,,,,,
268,06/02/18 03:00:00 PM,10.651,4650.0,10.651,10.651,10.651,,,,,
269,06/02/18 04:00:00 PM,10.748,4305.6,10.748,10.748,10.748,,,,,
270,06/02/18 05:00:00 PM,10.846,4477.8,10.846,10.846,10.846,,,,,
271,06/02/18 06:00:00 PM,11.139,5511.1,11.139,11.139,11.139,,,,,
272,06/02/18 07:00:00 PM,11.139,2325.0,11.139,11.139,11.139,,,,,
273,06/02/18 08:00:00 PM,11.041,430.6,11.041,11.041,11.041,,,,,
274,06/02/18 09:00:00 PM,10.944,86.1,10.944,10.944,10.944,,,,,
275,06/02/18 10:00:00 PM,10.846,0.0,10.846,10.846,10.846,,,,,
276,06/02/18 11:00:00 PM,10.651,0.0,10.651,10.651,10.651,,,,,
277,06/03/18 12:00:00 AM,10.553,0.0,10.553,10.553,10.553,,,,,
278,06/03/18 01:00:00 AM,10.357,0.0,10.357,10.357,10.357,,,,,
279,06/03/18 02:00:00 AM,10.259,0.0,10.259,10.259,10.259,,,,,
280,06/03/18 03:00:00 AM,10.161,0.0,10.161,10.161,10.161,,,,,
281,06/03/18 04:00:00 AM,10.063,0.0,10.063,10.063,10.063,,,,,
282,06/03/18 05:00:00 AM,9.965,0.0,9.965,9.965,9.965,,,,,
283,06/03/18 06:00:00 AM,9.965,312.2,9.965,9.965,9.965,,,,,
284,06/03/18 07:00:00 AM,10.063,1550.0,10.063,10.063,10.063,,,,,
285,06/03/18 08:00:00 AM,10.063,2583.4,10.063,10.063,10.063,,,,,
286,06/03/18 09:00:00 AM,10.259,4305.6,10.259,10.259,10.259,,,,,
287,06/03/18 10:00:00 AM,10.357,4650.0,10.357,10.357,10.357,,,,,
288,06/03/18 11:00:00 AM,10.357,3961.1,10.357,10.357,10.357,,,,,
289,06/03/18 12:00:00 PM,10.357,1980.6,10.357,10.357,10.357,,,,,
290,06/03/18 01:00:00 PM,10.259,990.3,10.259,10.259,10.259,,,,,
291,06/03/18 02:00:00 PM,10.259,2152.8,10.259,10.259,10.259,,,,,
292,06/03/18 03:00:00 PM,10.063,1550.0,10.063,10.063,10.063,,,,,
293,06/03/18 04:00:00 PM,9.965,1291.7,9.965,9.965,9.965,,,,,
294,06/03/18 05:00:00 PM,9.866,1808.3,9.866,9.866,9.866,,,,,
295,06/03/18 06:00:00 PM,9.965,12400.1,9.965,9.965,9.965,,,,,
296,06/03/18 07:00:00 PM,9.866,2497.2,9.866,9.866,9.866,,,,,
297,06/03/18 08:00:00 PM,9.669,602.8,9.669,9.669,9.669,,,,,
298,06/03/18 09:00:00 PM,9.571,43.1,9.571,9.571,9.571,,,,,
299,06/03/18 10:00:00 PM,9.472,0.0,9.472,9.472,9.472,,,,,
300,06/03/18 11:00:00 PM,9.275,0.0,9.275,9.275,9.275,,,,,
301,06/04/18 12:00:00 AM,9.176,0.0,9.176,9.176,9.176,,,,,
302,06/04/18 01:00:00 AM,8.978,0.0,8.978,8.978,8.978,,,,,
303,06/04/18 02:00:00 AM,8.779,0.0,8.779,8.779,8.779,,,,,
